D,method,mode,n_features,nfp_sig,nfp_pct,nfp_sig_fixed768,nfp_pct_fixed768,diag_dominant
16,pca,sign_split,32,0,0.0000,0,0.0000,True
16,pca,signed,16,0,0.0000,0,0.0000,True
16,ica,sign_split,32,0,0.0000,0,0.0000,True
16,ica,signed,16,0,0.0000,0,0.0000,True
32,pca,sign_split,64,0,0.0000,0,0.0000,True
32,pca,signed,32,0,0.0000,0,0.0000,True
32,ica,sign_split,64,0,0.0000,0,0.0000,True
32,ica,signed,32,1,3.1250,0,0.0000,True
64,pca,sign_split,128,0,0.0000,0,0.0000,True
64,pca,signed,64,0,0.0000,0,0.0000,True
64,ica,sign_split,128,0,0.0000,0,0.0000,True
64,ica,signed,64,0,0.0000,0,0.0000,True
128,pca,sign_split,256,0,0.0000,0,0.0000,True
128,pca,signed,128,0,0.0000,0,0.0000,True
128,ica,sign_split,256,1,0.3906,0,0.0000,True
128,ica,signed,128,0,0.0000,0,0.0000,True
256,pca,sign_split,512,0,0.0000,0,0.0000,True
256,pca,signed,256,0,0.0000,0,0.0000,True
256,ica,sign_split,512,0,0.0000,0,0.0000,True
256,ica,signed,256,0,0.0000,0,0.0000,True
512,pca,sign_split,1024,0,0.0000,0,0.0000,True
512,pca,signed,512,0,0.0000,0,0.0000,True
512,ica,sign_split,1024,0,0.0000,0,0.0000,True
512,ica,signed,512,0,0.0000,0,0.0000,True
768,pca,sign_split,1536,0,0.0000,0,0.0000,True
768,pca,signed,768,0,0.0000,0,0.0000,True
768,ica,sign_split,1536,0,0.0000,0,0.0000,True
768,ica,signed,768,0,0.0000,0,0.0000,True
