D,method,mode,n_features,ms_mean,ms_std,ms_peak,nfp_sig,nfp_pct,nfp_sig_fixed768,nfp_pct_fixed768,diag_dominant
16,pca,sign_split,32,0.467654,0.012085,0.496547,19,59.3750,15,46.8750,False
16,pca,signed,16,0.465779,0.008566,0.484113,14,87.5000,12,75.0000,True
16,ica,sign_split,32,0.467690,0.016252,0.511479,20,62.5000,15,46.8750,False
16,ica,signed,16,0.468557,0.006124,0.483666,15,93.7500,10,62.5000,True
32,pca,sign_split,64,0.467549,0.011147,0.496547,38,59.3750,33,51.5625,True
32,pca,signed,32,0.464206,0.007775,0.484113,28,87.5000,26,81.2500,False
32,ica,sign_split,64,0.467504,0.015847,0.511719,42,65.6250,40,62.5000,True
32,ica,signed,32,0.466923,0.011882,0.495044,30,93.7500,27,84.3750,False
64,pca,sign_split,128,0.466636,0.009383,0.496547,76,59.3750,64,50.0000,False
64,pca,signed,64,0.464538,0.006586,0.484113,53,82.8125,52,81.2500,False
64,ica,sign_split,128,0.467194,0.014124,0.514506,88,68.7500,82,64.0625,False
64,ica,signed,64,0.465870,0.010954,0.500400,58,90.6250,55,85.9375,False
128,pca,sign_split,256,0.466893,0.007835,0.496547,169,66.0156,153,59.7656,True
128,pca,signed,128,0.465717,0.006008,0.484113,113,88.2812,109,85.1562,False
128,ica,sign_split,256,0.467582,0.012175,0.519120,174,67.9688,170,66.4062,True
128,ica,signed,128,0.466688,0.009185,0.513532,117,91.4062,111,86.7188,True
256,pca,sign_split,512,0.467174,0.006490,0.496547,341,66.6016,330,64.4531,True
256,pca,signed,256,0.466724,0.005483,0.484113,230,89.8438,226,88.2812,False
256,ica,sign_split,512,0.467444,0.009483,0.511668,361,70.5078,356,69.5312,True
256,ica,signed,256,0.467341,0.007819,0.502389,233,91.0156,226,88.2812,False
512,pca,sign_split,1024,0.467686,0.005357,0.496547,711,69.4336,718,70.1172,True
512,pca,signed,512,0.467532,0.004740,0.484113,466,91.0156,463,90.4297,False
512,ica,sign_split,1024,nan,nan,nan,-1,nan,-1,nan,False
512,ica,signed,512,nan,nan,nan,-1,nan,-1,nan,False
768,pca,sign_split,1536,0.467717,0.004799,0.496547,1057,68.8151,1091,71.0286,False
768,pca,signed,768,0.467648,0.004381,0.484113,698,90.8854,698,90.8854,False
768,ica,sign_split,1536,nan,nan,nan,-1,nan,-1,nan,False
768,ica,signed,768,nan,nan,nan,-1,nan,-1,nan,False
