D,method,mode,n_features,ms_mean,ms_std,ms_peak,nfp_sig,nfp_pct,nfp_sig_fixed768,nfp_pct_fixed768,diag_dominant
16,pca,sign_split,32,0.467654,0.012085,0.496547,19,59.3750,15,46.8750,False
16,ica,sign_split,32,0.467690,0.016252,0.511479,20,62.5000,15,46.8750,False
32,pca,sign_split,64,0.467549,0.011147,0.496547,38,59.3750,33,51.5625,True
32,ica,sign_split,64,0.467504,0.015847,0.511719,42,65.6250,40,62.5000,True
64,pca,sign_split,128,0.466636,0.009383,0.496547,76,59.3750,64,50.0000,False
64,ica,sign_split,128,0.467194,0.014124,0.514506,88,68.7500,82,64.0625,False
128,pca,sign_split,256,0.466893,0.007835,0.496547,169,66.0156,153,59.7656,True
128,ica,sign_split,256,0.467582,0.012175,0.519120,174,67.9688,170,66.4062,True
256,pca,sign_split,512,0.467174,0.006490,0.496547,341,66.6016,330,64.4531,True
256,ica,sign_split,512,0.467444,0.009483,0.511668,361,70.5078,356,69.5312,True
512,pca,sign_split,1024,0.467686,0.005357,0.496547,711,69.4336,718,70.1172,True
512,ica,sign_split,1024,nan,nan,nan,-1,nan,-1,nan,False
768,pca,sign_split,1536,0.467717,0.004799,0.496547,1057,68.8151,1091,71.0286,False
768,ica,sign_split,1536,nan,nan,nan,-1,nan,-1,nan,False
