D,method,mode,n_features,ms_mean,ms_std,ms_peak,nfp_sig,nfp_pct,diag_dominant
16,pca,signed,16,0.465779,0.008566,0.484113,14,87.5000,True
16,ica,signed,16,0.468557,0.006124,0.483666,15,93.7500,True
32,pca,signed,32,0.464206,0.007775,0.484113,28,87.5000,False
32,ica,signed,32,0.466923,0.011882,0.495044,30,93.7500,False
64,pca,signed,64,0.464538,0.006586,0.484113,53,82.8125,False
64,ica,signed,64,0.465870,0.010954,0.500400,58,90.6250,False
128,pca,signed,128,0.465717,0.006008,0.484113,113,88.2812,False
128,ica,signed,128,0.466688,0.009185,0.513532,117,91.4062,True
256,pca,signed,256,0.466723,0.005482,0.484113,230,89.8438,False
256,ica,signed,256,0.467341,0.007819,0.502389,233,91.0156,False
512,pca,signed,512,0.467512,0.004795,0.484113,466,91.0156,False
512,ica,signed,512,nan,nan,nan,-1,nan,False
