D,method,mode,n_features,nfp_sig,nfp_pct,nfp_sig_fixed768,nfp_pct_fixed768,projfrac_wtau_sig,projfrac_wstatic_sig,diag_dominant
16,pca,sign_split,32,32,100.0000,32,100.0000,0.021208,0.978792,False
16,pca,signed,16,16,100.0000,16,100.0000,0.021208,0.978792,False
16,ica,sign_split,32,32,100.0000,32,100.0000,0.021038,0.978962,False
16,ica,signed,16,16,100.0000,16,100.0000,0.021038,0.978962,False
32,pca,sign_split,64,64,100.0000,64,100.0000,0.014452,0.985548,False
32,pca,signed,32,32,100.0000,32,100.0000,0.014452,0.985548,False
32,ica,sign_split,64,64,100.0000,64,100.0000,0.014143,0.985857,False
32,ica,signed,32,32,100.0000,32,100.0000,0.014143,0.985857,False
64,pca,sign_split,128,128,100.0000,128,100.0000,0.010850,0.989150,False
64,pca,signed,64,64,100.0000,64,100.0000,0.010850,0.989150,False
64,ica,sign_split,128,128,100.0000,128,100.0000,0.010481,0.989519,False
64,ica,signed,64,64,100.0000,64,100.0000,0.010481,0.989519,False
128,pca,sign_split,256,256,100.0000,256,100.0000,0.008299,0.991701,False
128,pca,signed,128,128,100.0000,128,100.0000,0.008299,0.991701,False
128,ica,sign_split,256,256,100.0000,256,100.0000,0.007913,0.992087,False
128,ica,signed,128,128,100.0000,128,100.0000,0.007913,0.992087,False
256,pca,sign_split,512,512,100.0000,512,100.0000,0.006593,0.993407,False
256,pca,signed,256,256,100.0000,256,100.0000,0.006593,0.993407,False
256,ica,sign_split,512,512,100.0000,512,100.0000,0.006180,0.993820,False
256,ica,signed,256,256,100.0000,256,100.0000,0.006180,0.993820,False
512,pca,sign_split,1024,1024,100.0000,1024,100.0000,0.006253,0.993747,False
512,pca,signed,512,512,100.0000,512,100.0000,0.006253,0.993747,False
512,ica,sign_split,1024,1024,100.0000,1024,100.0000,0.006025,0.993975,False
512,ica,signed,512,512,100.0000,512,100.0000,0.006025,0.993975,False
768,pca,sign_split,1536,1536,100.0000,1536,100.0000,0.006510,0.993490,False
768,pca,signed,768,768,100.0000,768,100.0000,0.006510,0.993490,False
768,ica,sign_split,1536,1536,100.0000,1536,100.0000,0.007800,0.992200,False
768,ica,signed,768,768,100.0000,768,100.0000,0.007800,0.992200,False
