feature,idx,dom_tau,concept,z_s100,z_s40,z_mean,motion_coherent
feat04280,4280,vel_y,Lifting [something] with [something] on it,11.32,9.92,10.62,1
feat03714,3714,vel_x,Pushing [something] so that it slightly moves,8.52,8.89,8.71,1
feat02491,2491,speed,Showing [something] behind [something],9.16,7.82,8.49,0
feat01699,1699,vel_x,Showing [something] behind [something],7.96,8.14,8.05,0
feat03150,3150,speed,"Removing [something], revealing [something] behind",7.42,7.11,7.27,1
feat01778,1778,vel_x,Lifting [something] with [something] on it,7.17,7.31,7.24,1
feat02820,2820,vel_x,Plugging [something] into [something],7.54,6.54,7.04,1
feat02211,2211,speed,Poking [something] so it slightly moves,6.7,6.98,6.84,1
feat06100,6100,speed,Showing [something] next to [something],6.9,6.57,6.74,0
feat02312,2312,speed,Spinning [something] that quickly stops spinning,6.83,6.54,6.69,1
feat05785,5785,vel_x,Turning the camera downwards while filming [something],6.68,6.55,6.62,1
feat00978,978,vel_x,Lifting [something] with [something] on it,6.29,5.87,6.08,1
feat00056,56,speed,Showing [something] behind [something],6.24,5.82,6.03,0
feat04870,4870,vel_y,Letting [something] roll along a flat surface,5.74,5.86,5.8,0
feat02818,2818,speed,Dropping [something] next to [something],5.8,5.61,5.71,1
feat05711,5711,vel_x,Holding [something] in front of [something],5.87,5.46,5.67,0
feat01544,1544,vel_y,Closing [something],5.17,5.46,5.31,0
feat04066,4066,vel_x,Showing [something] behind [something],5.11,5.28,5.2,0
feat04153,4153,vel_x,Letting [something] roll along a flat surface,4.72,4.42,4.57,0
feat05866,5866,speed,Turning the camera downwards while filming [something],4.41,4.38,4.39,1
feat02509,2509,accel_mag,Showing [something] to the camera,3.69,5.03,4.36,0
feat01919,1919,vel_x,Closing [something],3.93,4.01,3.97,0
feat01321,1321,vel_y,Folding [something],4.17,3.63,3.9,0
feat04416,4416,vel_y,Pushing [something] so that it slightly moves,3.51,3.73,3.62,1
feat04904,4904,vel_x,Letting [something] roll along a flat surface,4.17,3.01,3.59,0
feat03672,3672,speed,Turning the camera left while filming [something],3.84,3.35,3.59,1
feat00735,735,accel_mag,Lifting [something] with [something] on it,2.06,4.72,3.39,1
feat04665,4665,vel_y,Lifting [something] with [something] on it,4.2,2.57,3.38,1
feat03058,3058,vel_x,Showing that [something] is empty,2.92,3.57,3.25,0
feat00214,214,vel_x,Showing [something] behind [something],3.87,2.49,3.18,0
feat00394,394,vel_x,Uncovering [something],3.55,2.72,3.13,0
feat01230,1230,speed,Rolling [something] on a flat surface,2.16,3.99,3.08,1
feat00648,648,speed,Holding [something] in front of [something],2.86,3.03,2.94,0
feat05216,5216,direction,Wiping [something] off of [something],2.57,3.19,2.88,0
feat05077,5077,vel_x,Showing [something] behind [something],2.91,2.58,2.75,0
feat03309,3309,vel_x,Wiping [something] off of [something],2.46,2.91,2.69,0
feat03968,3968,vel_x,Showing [something] behind [something],3.55,1.76,2.65,0
feat03471,3471,vel_x,Lifting [something] with [something] on it,2.49,2.44,2.46,1
feat03059,3059,vel_x,Lifting [something] with [something] on it,2.29,2.52,2.41,1
feat03735,3735,vel_x,Moving [something] down,2.26,2.43,2.34,1
feat00294,294,vel_x,Lifting [something] with [something] on it,2.82,1.74,2.28,1
feat05472,5472,vel_x,Poking [something] so lightly that it doesn't or almost doesn't move,2.16,2.4,2.28,1
feat00250,250,vel_x,Putting [something] on a surface,2.26,2.26,2.26,1
feat00950,950,vel_x,Pushing [something] so that it falls off the table,2.08,2.13,2.1,1
feat03379,3379,vel_y,Putting [something] on a flat surface without letting it roll,1.84,2.37,2.1,1
feat04541,4541,vel_y,Tearing [something] into two pieces,1.9,1.93,1.92,1
feat04188,4188,vel_y,Uncovering [something],1.65,2.03,1.84,0
feat05228,5228,vel_y,Showing [something] behind [something],0.89,2.64,1.77,0
feat04562,4562,speed,Dropping [something] next to [something],1.78,1.5,1.64,1
feat02952,2952,speed,Showing [something] to the camera,1.41,1.84,1.62,0
feat03883,3883,vel_x,Closing [something],1.32,1.56,1.44,0
feat05987,5987,vel_x,Letting [something] roll down a slanted surface,1.31,1.46,1.39,0
feat04254,4254,speed,Folding [something],0.97,1.79,1.38,0
feat02125,2125,vel_y,Pushing [something] so that it falls off the table,1.02,1.62,1.32,1
feat02736,2736,vel_y,Pouring [something] into [something],1.41,1.12,1.27,1
feat01576,1576,vel_x,Plugging [something] into [something],0.89,1.32,1.1,1
feat05303,5303,speed,Lifting [something] with [something] on it,0.82,1.14,0.98,1
feat04196,4196,vel_y,Holding [something] next to [something],1.39,0.43,0.91,0
feat05321,5321,speed,Letting [something] roll along a flat surface,0.52,1.3,0.91,0
feat05622,5622,speed,Lifting [something] with [something] on it,0.54,0.85,0.7,1
feat03280,3280,accel_mag,Folding [something],0.45,0.86,0.66,0
feat01262,1262,vel_x,Closing [something],0.25,0.97,0.61,0
feat03685,3685,speed,Lifting [something] with [something] on it,-0.03,0.52,0.24,1
feat05179,5179,vel_x,Plugging [something] into [something],-0.3,0.68,0.19,1
feat03519,3519,speed,Closing [something],0.2,0.01,0.11,0
feat02825,2825,direction,Holding [something] next to [something],-0.01,0.16,0.07,0
feat00326,326,accel_mag,Pushing [something] so that it falls off the table,-0.44,0.32,-0.06,1
feat00939,939,vel_x,Opening [something],-0.4,0.07,-0.17,0
feat02191,2191,speed,Picking [something] up,-0.35,-0.08,-0.21,0
feat01345,1345,vel_x,Folding [something],-0.72,-0.37,-0.54,0
feat05758,5758,speed,Letting [something] roll down a slanted surface,-0.77,-0.39,-0.58,0
feat03636,3636,speed,Plugging [something] into [something],-0.62,-0.95,-0.78,1
feat03819,3819,speed,Pouring [something] into [something] until it overflows,-1.12,-0.87,-1.0,1
feat01903,1903,speed,"Removing [something], revealing [something] behind",-1.7,-0.72,-1.21,1
feat04716,4716,vel_x,Stuffing [something] into [something],-1.43,-1.23,-1.33,1
feat03908,3908,accel_mag,Tearing [something] just a little bit,-1.67,-1.12,-1.4,1
feat03927,3927,speed,Tearing [something] into two pieces,-1.36,-1.8,-1.58,1
feat03974,3974,speed,Tearing [something] into two pieces,-2.24,-1.42,-1.83,1
feat04796,4796,speed,Plugging [something] into [something],-2.65,-1.89,-2.27,1
feat05087,5087,accel_mag,Wiping [something] off of [something],-2.48,-2.31,-2.4,0
feat04624,4624,accel_mag,Closing [something],-2.68,-2.28,-2.48,0
feat05955,5955,vel_x,Showing [something] behind [something],-3.29,-3.12,-3.21,0
feat04974,4974,accel_mag,Letting [something] roll down a slanted surface,-3.36,-3.16,-3.26,0
feat01365,1365,vel_y,Lifting [something] with [something] on it,-2.69,-3.86,-3.27,1
feat03809,3809,accel_mag,Lifting [something] with [something] on it,-3.64,-3.07,-3.35,1
