feature,dom_tau,mean_abs_delta,n_pairs_flip25,n_pairs_flip50,push_lr_delta,push_lr_flip,push_lr_top1,pull_lr_delta,pull_lr_flip,pull_lr_top1,cam_lr_delta,cam_lr_flip,cam_lr_top1,move_ud_delta,move_ud_flip,move_ud_top1,cam_ud_delta,cam_ud_flip,cam_ud_top1,obj_cam_delta,obj_cam_flip,obj_cam_top1,obj_obj_delta,obj_obj_flip,obj_obj_top1,cam_appr_delta,cam_appr_flip,cam_appr_top1,fall_speed_delta,fall_speed_flip,fall_speed_top1,spin_stop_delta,spin_stop_flip,spin_stop_top1
feat04562,speed,0.884,2,1,0.435,0.0,0.0,-0.007,0.042,0.0,0.202,0.0,0.0,-1.255,0.208,0.042,4.93,0.667,0.208,0.373,0.042,0.0,-0.505,0.083,0.0,-0.427,0.0,0.0,0.488,0.042,0.0,-0.219,0.292,0.042
feat01321,vel_y,0.86,1,1,0.191,0.0,0.0,-1.48,0.083,0.0,-4.944,0.75,0.25,0.319,0.125,0.0,0.464,0.083,0.0,-0.038,0.0,0.0,-0.514,0.083,0.0,-0.323,0.0,0.0,0.228,0.042,0.042,0.098,0.167,0.083
feat00950,vel_x,0.848,1,1,-0.048,0.0,0.0,-0.732,0.042,0.0,-4.393,0.583,0.167,0.011,0.0,0.0,0.741,0.083,0.0,1.032,0.125,0.0,-0.541,0.083,0.0,0.414,0.0,0.0,-0.504,0.083,0.042,0.064,0.167,0.083
feat02818,speed,0.762,2,1,0.852,0.042,0.0,0.271,0.042,0.0,0.15,0.0,0.0,0.408,0.125,0.0,-0.718,0.083,0.0,-0.523,0.083,0.0,0.337,0.083,0.0,-0.667,0.0,0.0,2.885,0.625,0.5,0.809,0.375,0.208
feat00250,vel_x,0.739,1,1,0.152,0.0,0.0,-0.086,0.042,0.0,0.386,0.0,0.0,0.032,0.042,0.0,0.017,0.042,0.0,-0.261,0.042,0.0,0.428,0.083,0.0,-0.25,0.0,0.0,0.869,0.167,0.042,4.914,1.0,0.667
feat03968,vel_x,0.72,2,1,0.3,0.0,0.0,0.595,0.042,0.0,-4.161,0.542,0.167,-0.331,0.083,0.042,0.049,0.042,0.0,0.273,0.042,0.0,-0.043,0.042,0.0,-0.234,0.0,0.0,0.339,0.042,0.042,-0.87,0.417,0.042
feat05077,vel_x,0.715,1,1,-0.487,0.042,0.0,0.476,0.042,0.0,0.828,0.0,0.0,-0.628,0.125,0.042,-0.017,0.042,0.0,0.135,0.0,0.0,0.111,0.042,0.0,0.896,0.0,0.0,-3.425,0.667,0.5,0.15,0.167,0.083
feat00214,vel_x,0.709,2,1,-0.337,0.0,0.0,-0.755,0.042,0.0,4.85,0.708,0.625,0.01,0.0,0.0,-0.016,0.042,0.0,-0.027,0.0,0.0,0.126,0.042,0.0,-0.21,0.0,0.0,0.242,0.042,0.042,-0.519,0.333,0.0
feat04665,vel_y,0.621,2,1,-0.16,0.0,0.0,-0.029,0.042,0.0,-0.043,0.0,0.0,0.147,0.083,0.0,-4.948,0.792,0.333,-0.027,0.0,0.0,0.16,0.042,0.0,-0.02,0.0,0.0,-0.333,0.042,0.042,-0.34,0.333,0.042
feat04254,speed,0.618,2,1,0.225,0.0,0.0,0.302,0.042,0.0,0.601,0.0,0.0,0.607,0.125,0.0,-0.48,0.042,0.0,-0.397,0.083,0.0,-0.393,0.083,0.0,0.041,0.0,0.0,2.445,0.625,0.458,-0.685,0.375,0.125
feat00294,vel_x,0.612,2,1,0.292,0.0,0.0,-0.215,0.042,0.0,4.58,0.542,0.167,-0.086,0.0,0.0,0.024,0.042,0.0,0.072,0.0,0.0,0.303,0.083,0.0,0.3,0.0,0.0,-0.024,0.042,0.042,-0.223,0.292,0.042
feat01262,vel_x,0.541,2,1,0.007,0.0,0.0,-0.213,0.042,0.0,-0.028,0.0,0.0,-0.117,0.042,0.0,0.387,0.042,0.0,-0.554,0.083,0.0,-0.68,0.083,0.0,-0.556,0.0,0.0,2.146,0.542,0.458,0.723,0.333,0.167
feat04416,vel_y,1.147,1,0,1.297,0.125,0.0,2.916,0.208,0.167,3.208,0.167,0.042,-0.367,0.083,0.042,0.623,0.083,0.0,-0.951,0.125,0.0,-1.324,0.083,0.0,-0.327,0.0,0.0,0.196,0.042,0.0,0.262,0.292,0.125
feat04280,vel_y,0.941,2,0,0.322,0.0,0.0,0.38,0.042,0.0,0.385,0.0,0.0,1.02,0.208,0.0,-3.455,0.25,0.0,-0.031,0.0,0.0,1.584,0.083,0.0,1.343,0.042,0.0,0.596,0.125,0.042,0.298,0.292,0.083
feat03309,vel_x,0.821,2,0,-0.95,0.042,0.0,-1.461,0.083,0.0,0.076,0.0,0.0,0.659,0.125,0.0,0.062,0.042,0.0,-0.275,0.042,0.0,-3.038,0.375,0.125,0.037,0.0,0.0,0.712,0.125,0.042,0.944,0.417,0.125
feat00394,vel_x,0.791,0,0,0.045,0.0,0.0,0.543,0.042,0.0,0.778,0.0,0.0,-0.608,0.125,0.042,0.369,0.042,0.0,-1.674,0.125,0.0,0.361,0.083,0.0,-3.204,0.083,0.042,0.309,0.042,0.0,-0.016,0.167,0.083
feat00978,vel_x,0.789,2,0,0.322,0.0,0.0,0.156,0.042,0.0,-0.819,0.0,0.0,1.672,0.333,0.083,2.595,0.167,0.0,0.571,0.083,0.0,0.011,0.042,0.0,0.129,0.0,0.0,1.28,0.167,0.083,-0.33,0.333,0.125
feat01699,vel_x,0.726,0,0,-0.411,0.0,0.0,-0.367,0.042,0.0,-1.492,0.0,0.0,0.727,0.167,0.0,2.444,0.167,0.0,-0.226,0.042,0.0,-0.095,0.042,0.0,0.817,0.0,0.0,0.605,0.125,0.042,-0.077,0.167,0.0
feat03672,speed,0.657,1,0,-0.75,0.042,0.0,0.291,0.042,0.0,1.445,0.0,0.0,-0.639,0.125,0.042,-0.758,0.083,0.0,-0.48,0.083,0.0,0.51,0.083,0.0,-0.142,0.0,0.0,-0.731,0.125,0.0,0.822,0.375,0.083
feat04196,vel_y,0.633,1,0,-0.002,0.0,0.0,-0.4,0.042,0.0,-0.267,0.0,0.0,0.11,0.083,0.0,4.166,0.417,0.125,0.465,0.083,0.0,-0.206,0.083,0.0,-0.385,0.0,0.0,0.248,0.042,0.042,-0.082,0.208,0.0
feat05987,vel_x,0.608,2,0,-0.821,0.042,0.0,-0.859,0.042,0.0,0.599,0.0,0.0,-0.165,0.083,0.042,-0.565,0.083,0.0,0.203,0.0,0.0,0.143,0.042,0.0,0.519,0.0,0.0,-1.526,0.375,0.167,0.676,0.333,0.167
